longitude,latitude,altitude,timestamp,Pressure_surface,Relative_humidity_isobaric,Temperature_isobaric,Wind_speed_gust_surface,u-component_of_wind_isobaric,v-component_of_wind_isobaric,latent1,latent2,latent3,episode
3.787718885436713867e-01,-1.158573621676408427e+00,9.826175389084673695e-01,-8.322797994782168418e-01,-1.035457789150518559e+00,3.092698268566479447e-01,-1.152315259586726093e+00,2.774268003770992586e+00,1.246026365432279931e-01,-3.821025999122871775e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.500000000000000000e+01
3.719889025340033517e-01,-1.164760574769878820e+00,9.762721271257585043e-01,-8.322709667483667584e-01,-1.035457789150518559e+00,3.092698268566479447e-01,-1.152315259586726093e+00,2.774268003770992586e+00,1.246026365432279931e-01,-3.821025999122871775e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.500000000000000000e+01
3.632408624186693191e-01,-1.169275776480001916e+00,9.791748678584757393e-01,-8.322621340185165639e-01,-1.035457789150518559e+00,3.092698268566479447e-01,-1.152315259586726093e+00,2.774268003770992586e+00,1.246026365432279931e-01,-3.821025999122871775e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.500000000000000000e+01
3.548724355453413692e-01,-1.183857153362697145e+00,9.668256100121205288e-01,-8.322533012886664805e-01,-1.035457789150518559e+00,3.092698268566479447e-01,-1.152315259586726093e+00,2.774268003770992586e+00,1.246026365432279931e-01,-3.821025999122871775e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.500000000000000000e+01
3.471359197458335211e-01,-1.184185210264255383e+00,9.574177729565381822e-01,-8.322444685588163971e-01,-1.035457789150518559e+00,3.092698268566479447e-01,-1.152315259586726093e+00,2.774268003770992586e+00,1.246026365432279931e-01,-3.821025999122871775e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.500000000000000000e+01
3.398680430468778990e-01,-1.182020762397248737e+00,9.535212655089830847e-01,-8.322356358289663136e-01,-1.035457789150518559e+00,3.092698268566479447e-01,-1.152315259586726093e+00,2.774268003770992586e+00,1.246026365432279931e-01,-3.821025999122871775e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.500000000000000000e+01
3.346862002512831502e-01,-1.183711391277153524e+00,9.505654332433021159e-01,-8.322268030991162302e-01,-1.035457789150518559e+00,3.092698268566479447e-01,-1.152315259586726093e+00,2.774268003770992586e+00,1.246026365432279931e-01,-3.821025999122871775e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.500000000000000000e+01
3.307868790678417659e-01,-1.178611804383298711e+00,9.367071685460470754e-01,-8.322179703692661468e-01,-1.035457789150518559e+00,3.092698268566479447e-01,-1.152315259586726093e+00,2.774268003770992586e+00,1.246026365432279931e-01,-3.821025999122871775e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.500000000000000000e+01
3.247896315764515207e-01,-1.180207145677018232e+00,9.253205293343895743e-01,-8.322091376394160633e-01,-1.035457789150518559e+00,3.092698268566479447e-01,-1.152315259586726093e+00,2.774268003770992586e+00,1.246026365432279931e-01,-3.821025999122871775e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.500000000000000000e+01
3.184968117452973146e-01,-1.177815764468020721e+00,9.115923804838644839e-01,-8.322003049095659799e-01,-1.035457789150518559e+00,3.092698268566479447e-01,-1.152315259586726093e+00,2.774268003770992586e+00,1.246026365432279931e-01,-3.821025999122871775e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.500000000000000000e+01
3.112152668340054662e-01,-1.182223318838153459e+00,9.019217733209570209e-01,-8.321914721797158965e-01,-1.035457789150518559e+00,3.092698268566479447e-01,-1.152315259586726093e+00,2.774268003770992586e+00,1.246026365432279931e-01,-3.821025999122871775e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.500000000000000000e+01
3.036092230591478369e-01,-1.193755215801597158e+00,8.845319052686774208e-01,-8.321826394498657020e-01,-1.035457789150518559e+00,3.092698268566479447e-01,-1.152315259586726093e+00,2.774268003770992586e+00,1.246026365432279931e-01,-3.821025999122871775e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.500000000000000000e+01
2.978276232712738780e-01,-1.198960852877642536e+00,8.895188412972974135e-01,-8.321738067200156186e-01,-1.035457789150518559e+00,3.092698268566479447e-01,-1.152315259586726093e+00,2.774268003770992586e+00,1.246026365432279931e-01,-3.821025999122871775e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.500000000000000000e+01
2.908353333326778589e-01,-1.202276343703297057e+00,8.867309836573897819e-01,-8.321649739901655352e-01,-1.035457789150518559e+00,3.092698268566479447e-01,-1.152315259586726093e+00,2.774268003770992586e+00,1.246026365432279931e-01,-3.821025999122871775e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.500000000000000000e+01
2.837248708889325566e-01,-1.204903676726340578e+00,8.715996880462721919e-01,-8.321561412603154517e-01,-1.035457789150518559e+00,3.092698268566479447e-01,-1.152315259586726093e+00,2.774268003770992586e+00,1.246026365432279931e-01,-3.821025999122871775e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.500000000000000000e+01
2.766069019158945985e-01,-1.210552263302538956e+00,8.678106075840347211e-01,-8.321473085304653683e-01,-1.035457789150518559e+00,3.092698268566479447e-01,-1.152315259586726093e+00,2.774268003770992586e+00,1.246026365432279931e-01,-3.821025999122871775e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.500000000000000000e+01
2.719915868154066940e-01,-1.211271965624467484e+00,8.702771293958994070e-01,-8.321384758006152849e-01,-1.035457789150518559e+00,3.092698268566479447e-01,-1.152315259586726093e+00,2.774268003770992586e+00,1.246026365432279931e-01,-3.821025999122871775e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.500000000000000000e+01
2.636696156195715846e-01,-1.219379893906213042e+00,8.726490695413463561e-01,-8.321296430707652014e-01,-1.035457789150518559e+00,3.092698268566479447e-01,-1.152315259586726093e+00,2.774268003770992586e+00,1.246026365432279931e-01,-3.821025999122871775e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.500000000000000000e+01
2.578147430493632486e-01,-1.229031375423111250e+00,8.644084184973783724e-01,-8.321208103409151180e-01,-1.035457789150518559e+00,3.092698268566479447e-01,-1.152315259586726093e+00,2.774268003770992586e+00,1.246026365432279931e-01,-3.821025999122871775e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.500000000000000000e+01
2.530194972216915361e-01,-1.232725864459594867e+00,8.587683234336120908e-01,-8.321119776110650346e-01,-1.035457789150518559e+00,3.092698268566479447e-01,-1.152315259586726093e+00,2.774268003770992586e+00,1.246026365432279931e-01,-3.821025999122871775e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.500000000000000000e+01
2.469069685555911886e-01,-1.247089039829317514e+00,8.654867159152148659e-01,-8.321031448812148401e-01,-1.035457789150518559e+00,3.092698268566479447e-01,-1.152315259586726093e+00,2.774268003770992586e+00,1.246026365432279931e-01,-3.821025999122871775e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.500000000000000000e+01
2.401305300877371873e-01,-1.264969379247259385e+00,8.724787802977294060e-01,-8.320943121513647567e-01,-1.035457789150518559e+00,3.092698268566479447e-01,-1.152315259586726093e+00,2.774268003770992586e+00,1.246026365432279931e-01,-3.821025999122871775e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.500000000000000000e+01
2.335799348817482468e-01,-1.268845109959731765e+00,8.672630418937459229e-01,-8.320854794215146732e-01,-1.035457789150518559e+00,3.092698268566479447e-01,-1.152315259586726093e+00,2.774268003770992586e+00,1.246026365432279931e-01,-3.821025999122871775e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.500000000000000000e+01
2.272319580366197189e-01,-1.284404271070712644e+00,8.684590259698833359e-01,-8.320766466916645898e-01,-1.035457789150518559e+00,3.092698268566479447e-01,-1.152315259586726093e+00,2.774268003770992586e+00,1.246026365432279931e-01,-3.821025999122871775e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.500000000000000000e+01
2.224712281441648398e-01,-1.292875454104940758e+00,8.723525117191942568e-01,-8.320678139618145064e-01,-1.035457789150518559e+00,3.092698268566479447e-01,-1.152315259586726093e+00,2.774268003770992586e+00,1.246026365432279931e-01,-3.821025999122871775e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.500000000000000000e+01
2.176672917048415590e-01,-1.303577366944332239e+00,8.739362406076967016e-01,-8.320589812319644230e-01,-1.035457789150518559e+00,3.092698268566479447e-01,-1.152315259586726093e+00,2.774268003770992586e+00,1.246026365432279931e-01,-3.821025999122871775e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.500000000000000000e+01
2.102555663645221118e-01,-1.311746270713415985e+00,8.745005103701486426e-01,-8.320501485021143395e-01,-1.035457789150518559e+00,3.092698268566479447e-01,-1.152315259586726093e+00,2.774268003770992586e+00,1.246026365432279931e-01,-3.821025999122871775e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.500000000000000000e+01
2.047492367638002742e-01,-1.328637739297023890e+00,8.703848229086399435e-01,-8.320413157722642561e-01,-1.035457789150518559e+00,3.092698268566479447e-01,-1.152315259586726093e+00,2.774268003770992586e+00,1.246026365432279931e-01,-3.821025999122871775e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.500000000000000000e+01
1.992965147025428652e-01,-1.334144859084154477e+00,8.585154741300720094e-01,-8.320324830424141727e-01,-1.035457789150518559e+00,3.092698268566479447e-01,-1.152315259586726093e+00,2.774268003770992586e+00,1.246026365432279931e-01,-3.821025999122871775e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.500000000000000000e+01
1.925743819073694740e-01,-1.336984728588577864e+00,8.502148727133919115e-01,-8.320236503125639782e-01,-1.035457789150518559e+00,3.092698268566479447e-01,-1.152315259586726093e+00,2.774268003770992586e+00,1.246026365432279931e-01,-3.821025999122871775e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.500000000000000000e+01
1.868894843491603619e-01,-1.347087674464348739e+00,8.350232356446088966e-01,-8.320148175827138948e-01,-1.035457789150518559e+00,3.092698268566479447e-01,-1.152315259586726093e+00,2.774268003770992586e+00,1.246026365432279931e-01,-3.821025999122871775e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.500000000000000000e+01
1.838786598855483567e-01,-1.364335195344525298e+00,8.390259262275852059e-01,-8.320059848528638113e-01,-1.035457789150518559e+00,3.092698268566479447e-01,-1.152315259586726093e+00,2.774268003770992586e+00,1.246026365432279931e-01,-3.821025999122871775e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.500000000000000000e+01
